theme,side1,side2,player1,player2,winner,judger
人間の本質は『善』か『悪（利己的）』か,悪,善,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,善,悪,claude-opus-4-5,gpt-5.1,1,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,善,悪,gemini-3-pro-preview,claude-opus-4-5,1,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,善,悪,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,善,悪,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,悪,善,gemini-3-pro-preview,claude-opus-4-5,1,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,悪,善,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,善,悪,gpt-5.1,gemini-3-pro-preview,0,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,悪,善,claude-opus-4-5,gpt-5.1,1,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,善,悪,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,悪,善,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
人間の本質は『善』か『悪（利己的）』か,悪,善,gpt-5.1,gemini-3-pro-preview,1,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発見,発明,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発明,発見,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発明,発見,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発明,発見,gpt-5.1,gemini-3-pro-preview,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発見,発明,gemini-3-pro-preview,claude-opus-4-5,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発見,発明,claude-opus-4-5,gpt-5.1,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発明,発見,claude-opus-4-5,gpt-5.1,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発見,発明,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発明,発見,gemini-3-pro-preview,claude-opus-4-5,1,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発見,発明,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発明,発見,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
数学は「発見」されたのか、「発明」されたのか,発見,発明,gpt-5.1,gemini-3-pro-preview,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,異なる,同じ,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,同じ,異なる,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,異なる,同じ,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,同じ,異なる,gemini-3-pro-preview,claude-opus-4-5,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,異なる,同じ,claude-opus-4-5,gpt-5.1,1,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,同じ,異なる,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,異なる,同じ,gemini-3-pro-preview,claude-opus-4-5,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,同じ,異なる,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,異なる,同じ,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,同じ,異なる,claude-opus-4-5,gpt-5.1,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,同じ,異なる,gpt-5.1,gemini-3-pro-preview,0,gemini-3-pro-preview
「テセウスの船」（部品が全て入れ替わった船は元の船と同じか？）,異なる,同じ,gpt-5.1,gemini-3-pro-preview,0,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,真実,幸福,claude-opus-4-5,gpt-5.1,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,幸福,真実,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,幸福,真実,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,幸福,真実,claude-opus-4-5,gpt-5.1,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,真実,幸福,gemini-3-pro-preview,gpt-5.1,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,真実,幸福,claude-opus-4-5,gemini-3-pro-preview,0,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,真実,幸福,gemini-3-pro-preview,claude-opus-4-5,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,幸福,真実,gpt-5.1,gemini-3-pro-preview,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,幸福,真実,gemini-3-pro-preview,claude-opus-4-5,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,真実,幸福,gpt-5.1,claude-opus-4-5,0,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,幸福,真実,claude-opus-4-5,gemini-3-pro-preview,1,gemini-3-pro-preview
辛い現実か、心地よい仮想現実か、どちらを選ぶべきか？,真実,幸福,gpt-5.1,gemini-3-pro-preview,0,gemini-3-pro-preview
